Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
111,tt0081573,2012-04-16,2012-04-16,,Superman II,https://www.imdb.com/title/tt0081573/,movie,6.8,127,1980,"Action, Adventure, Sci-Fi",90409,1980-12-04,"Richard Donner, Richard Lester"
112,tt0078346,2012-04-16,2012-04-16,,Superman,https://www.imdb.com/title/tt0078346/,movie,7.4,143,1978,"Action, Adventure, Drama, Sci-Fi",147357,1978-12-10,Richard Donner
113,tt0094074,2012-04-16,2012-04-16,,Superman IV: The Quest for Peace,https://www.imdb.com/title/tt0094074/,movie,3.7,90,1987,"Action, Adventure, Family, Sci-Fi",39289,1987-07-23,Sidney J. Furie
114,tt0348150,2012-04-16,2012-04-16,,Superman Returns,https://www.imdb.com/title/tt0348150/,movie,6.1,154,2006,"Action, Adventure, Sci-Fi",259942,2006-06-21,Bryan Singer
115,tt0839995,2012-04-16,2012-04-16,,Superman II,https://www.imdb.com/title/tt0839995/,video,7.7,115,1980,"Action, Adventure, Romance, Sci-Fi",12699,1980-12-31,"Richard Donner, Richard Lester"
116,tt0986263,2012-04-16,2012-04-16,,Surrogates,https://www.imdb.com/title/tt0986263/,movie,6.3,89,2009,"Action, Sci-Fi, Thriller",163116,2009-09-24,Jonathan Mostow
117,tt0084745,2012-04-16,2012-04-16,,Swamp Thing,https://www.imdb.com/title/tt0084745/,movie,5.4,91,1982,"Horror, Sci-Fi",11609,1982-02-19,Wes Craven
118,tt0098193,2012-04-16,2012-04-16,,The Return of Swamp Thing,https://www.imdb.com/title/tt0098193/,movie,4.5,88,1989,"Sci-Fi, Horror, Comedy, Action, Adventure",3548,1989-05-12,Jim Wynorski
119,tt0770828,2012-04-16,2012-04-16,,Man of Steel,https://www.imdb.com/title/tt0770828/,movie,7.1,143,2013,"Action, Adventure, Sci-Fi",644156,2013-06-10,Zack Snyder
120,tt0339210,2012-04-16,2012-04-16,,It's a Bird... It's a Plane... It's Superman!,https://www.imdb.com/title/tt0339210/,tvMovie,3.9,,1975,"Comedy, Fantasy, Musical, Sci-Fi",174,1975-02-21,Jack Regas
121,tt0114614,2012-04-16,2012-04-16,,Tank Girl,https://www.imdb.com/title/tt0114614/,movie,5.3,104,1995,"Action, Comedy, Sci-Fi",28027,1995-03-31,Rachel Talalay
122,tt0100758,2012-04-16,2012-04-16,,Teenage Mutant Ninja Turtles,https://www.imdb.com/title/tt0100758/,movie,6.8,93,1990,"Action, Adventure, Comedy, Family, Sci-Fi",78115,1990-03-30,Steve Barron
123,tt0103060,2012-04-16,2012-04-16,,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,https://www.imdb.com/title/tt0103060/,movie,6,88,1991,"Action, Adventure, Comedy, Family, Sci-Fi",47615,1991-03-22,Michael Pressman
124,tt0108308,2012-04-16,2012-04-16,,Teenage Mutant Ninja Turtles III,https://www.imdb.com/title/tt0108308/,movie,4.8,96,1993,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",28520,1993-03-19,Stuart Gillard
125,tt0800369,2012-04-16,2012-04-16,,Thor,https://www.imdb.com/title/tt0800369/,movie,7,115,2011,"Action, Adventure, Fantasy, Sci-Fi",675449,2011-04-17,Kenneth Branagh
126,tt0111438,2012-04-16,2012-04-16,,Timecop,https://www.imdb.com/title/tt0111438/,movie,5.9,99,1994,"Action, Crime, Sci-Fi, Thriller",51469,1994-09-16,Peter Hyams
127,tt0118063,2012-04-16,2012-04-16,,Vampirella,https://www.imdb.com/title/tt0118063/,video,3.7,82,1996,"Action, Fantasy, Horror, Sci-Fi",1237,1996-09-28,Jim Wynorski
128,tt0434409,2012-04-16,2012-04-16,,V for Vendetta,https://www.imdb.com/title/tt0434409/,movie,8.2,132,2005,"Action, Drama, Sci-Fi, Thriller",947865,2005-12-11,James McTeigue
129,tt0070868,2012-04-16,2012-04-16,,The Vault of Horror,https://www.imdb.com/title/tt0070868/,movie,6.6,87,1973,Horror,4164,1973-03-16,Roy Ward Baker
130,tt0120458,2012-04-16,2012-04-16,,Virus,https://www.imdb.com/title/tt0120458/,movie,4.9,99,1999,"Action, Horror, Thriller, Sci-Fi",24607,1999-01-15,John Bruno
131,tt0493464,2012-04-16,2012-04-16,,Wanted,https://www.imdb.com/title/tt0493464/,movie,6.7,110,2008,"Action, Crime, Fantasy, Thriller",338718,2008-06-12,Timur Bekmambetov
132,tt0169514,2012-04-16,2012-04-16,,Witchblade,https://www.imdb.com/title/tt0169514/,tvMovie,5,94,2000,"Action, Crime, Drama, Fantasy, Mystery",2006,2000-08-27,Ralph Hemecker
133,tt0090305,2012-04-16,2012-04-16,,Weird Science,https://www.imdb.com/title/tt0090305/,movie,6.6,94,1985,"Comedy, Romance, Sci-Fi",72091,1985-08-02,John Hughes
134,tt0120903,2012-04-16,2012-04-16,,X-Men,https://www.imdb.com/title/tt0120903/,movie,7.4,104,2000,"Action, Adventure, Sci-Fi",532690,2000-07-12,Bryan Singer
135,tt0290334,2012-04-16,2012-04-16,,X2,https://www.imdb.com/title/tt0290334/,movie,7.5,134,2003,"Action, Adventure, Sci-Fi, Thriller",477977,2003-04-24,Bryan Singer
136,tt0376994,2012-04-16,2012-04-16,,X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/,movie,6.7,104,2006,"Action, Adventure, Sci-Fi, Thriller",449848,2006-05-22,Brett Ratner
137,tt0458525,2012-04-16,2012-04-16,,X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,movie,6.6,107,2009,"Action, Adventure, Sci-Fi, Thriller",433923,2009-04-08,Gavin Hood
